location_id,account_id,address_city,state,building_tiv,unit_count,subsidized_unit_count,protection_class,vacancy_flag,sprinkler_inspection_date,fire_alarm_inspection_date,pool_liability_flag,broker_confirmation
HAB-2024-B,GR-2024,Peoria,IL,6357512.0,63,0,3,N,2025-09-04,2025-09-19,N,yes
HAB-2027-A,GR-2027,Cleveland,OH,4829520.0,64,0,4,N,2025-09-07,2025-09-09,N,yes
HAB-2027-B,GR-2027,Cleveland,OH,3977403.0,68,0,3,N,2025-09-22,2025-09-13,N,yes
HAB-2030-A,GR-2030,Indianapolis,IN,6779365.0,33,0,2,N,2025-09-19,2025-09-03,N,yes
HAB-2030-B,GR-2030,Indianapolis,IN,7205822.0,35,0,4,N,2025-09-16,2025-09-07,N,yes
HAB-2033-A,GR-2033,Minneapolis,MN,3364614.0,37,0,5,N,2025-09-22,2025-09-04,N,yes
HAB-2033-B,GR-2033,Minneapolis,MN,3492182.0,35,0,3,Y,2025-09-18,2025-09-13,N,no
HAB-2036-A,GR-2036,Indianapolis,IN,7708141.0,69,0,4,N,2025-09-13,2025-09-10,N,yes
HAB-2036-B,GR-2036,Indianapolis,IN,7275494.0,71,0,5,N,2025-09-23,2025-09-14,N,yes
HAB-2039-A,GR-2039,Grand Rapids,MI,4554284.0,68,0,5,N,2025-09-21,2025-09-18,N,yes
HAB-2039-B,GR-2039,Grand Rapids,MI,4166468.0,76,0,3,N,2025-09-06,2025-09-16,N,yes
HAB-2042-A,GR-2042,Grand Rapids,MI,8291260.0,61,0,4,N,2025-09-14,2025-09-23,N,yes
HAB-2042-B,GR-2042,Grand Rapids,MI,9917795.0,66,0,4,N,2025-09-14,2025-09-20,N,yes
HAB-2045-A,GR-2045,Kansas City,MO,8194533.0,50,0,2,N,2025-09-18,2025-09-04,N,yes
HAB-2045-B,GR-2045,Kansas City,MO,8735916.0,50,0,4,N,2025-09-12,2025-09-17,N,yes
HAB-2047-A,GR-2047,Cleveland,OH,3349222.0,40,0,3,N,2025-09-13,2025-09-14,N,yes
HAB-2047-B,GR-2047,Cleveland,OH,3684487.0,43,0,2,Y,2025-09-04,2025-09-16,N,yes
HAB-2047-C,GR-2047,Columbus,OH,3311800.0,45,0,5,N,2025-09-19,2025-09-10,N,yes
HAB-2050-A,GR-2050,Des Moines,IA,7617648.0,41,0,3,N,2025-09-19,2025-09-03,N,yes
HAB-2050-B,GR-2050,Des Moines,IA,9212656.0,42,0,4,N,2025-09-17,2025-09-08,N,yes
HAB-2053-A,GR-2053,Columbus,OH,4412505.0,52,24,3,N,2025-09-08,2025-09-09,N,yes
HAB-2053-B,GR-2053,Cleveland,OH,4090705.0,52,0,2,N,2025-09-19,2025-09-12,N,yes
HAB-2056-A,GR-2056,Columbus,OH,5153504.0,45,0,2,N,2025-09-03,2025-09-16,N,yes
HAB-2056-B,GR-2056,Columbus,OH,5330686.0,41,0,2,N,2025-09-15,2025-09-07,N,yes
HAB-2059-A,GR-2059,Columbus,OH,8891542.0,87,0,5,N,2025-09-03,2025-09-19,N,yes
HAB-2059-B,GR-2059,Cleveland,OH,8097002.0,79,0,4,N,2025-09-14,2025-09-21,N,yes
HAB-2062-A,GR-2062,Chicago,IL,6088897.0,74,0,2,N,2025-09-21,2025-09-09,N,yes
HAB-2062-B,GR-2062,Peoria,IL,5090185.0,75,0,5,N,2025-09-06,2025-09-06,N,yes
HAB-2065-A,GR-2065,Columbus,OH,8598166.0,68,0,3,N,2025-09-04,2025-09-21,N,yes
HAB-2065-B,GR-2065,Cleveland,OH,9561894.0,63,0,3,N,2025-09-12,2025-09-20,N,yes
HAB-2068-A,GR-2068,Chicago,IL,8420942.0,40,0,5,N,2025-09-14,2025-09-05,N,yes
HAB-2068-B,GR-2068,Peoria,IL,8980813.0,37,18,3,N,2025-09-14,2025-09-09,N,yes
HAB-2071-A,GR-2071,Kansas City,MO,4333243.0,51,0,4,N,2025-09-07,2025-09-03,N,yes
HAB-2071-B,GR-2071,Kansas City,MO,4676602.0,53,0,2,N,2025-09-11,2025-09-20,N,yes
HAB-2074-A,GR-2074,Cleveland,OH,6470807.0,29,0,5,N,2025-09-04,2025-09-13,pending_fence_po,yes
HAB-2074-B,GR-2074,Cleveland,OH,7765700.0,25,0,2,N,2025-09-08,2025-09-14,N,yes
HAB-2077-A,GR-2077,Des Moines,IA,5306862.0,76,0,5,N,2025-09-22,2025-09-12,N,yes
HAB-2077-B,GR-2077,Des Moines,IA,6553418.0,84,0,3,N,2025-09-20,2025-09-13,N,yes
HAB-2080-A,GR-2080,Peoria,IL,6194797.0,37,0,4,N,2025-09-11,2025-09-18,N,yes
HAB-2080-B,GR-2080,Peoria,IL,6957880.0,37,0,2,N,2025-09-07,2025-09-08,N,yes
HAB-2083-A,GR-2083,Grand Rapids,MI,6177528.0,88,0,5,N,2025-09-04,2025-09-17,N,yes
HAB-2083-B,GR-2083,Grand Rapids,MI,6490257.0,89,0,4,N,2025-09-18,2025-09-23,N,yes
HAB-2086-A,GR-2086,Minneapolis,MN,6682769.0,26,0,2,N,2025-09-18,2025-09-11,N,yes
HAB-2086-B,GR-2086,Minneapolis,MN,5766951.0,26,0,5,N,2025-09-14,2025-09-16,N,yes
HAB-2089-A,GR-2089,Minneapolis,MN,4596104.0,45,0,4,N,2025-04-02,2025-04-02,N,yes
HAB-2089-B,GR-2089,Minneapolis,MN,4260398.0,51,0,5,N,2025-09-12,2025-09-09,N,yes
HAB-2092-A,GR-2092,Cleveland,OH,6626212.0,39,22,3,N,2025-09-16,2025-09-22,N,yes
HAB-2092-B,GR-2092,Cleveland,OH,7579077.0,37,0,2,N,2025-09-03,2025-09-20,N,yes
HAB-2113-A,GR-2113,Chicago,IL,4099296.0,50,0,5,N,2025-09-08,2025-09-19,N,yes
HAB-2113-B,GR-2113,Peoria,IL,4329591.0,54,0,2,N,2025-09-23,2025-09-12,N,yes
HAB-2113-C,GR-2113,Chicago,IL,4381993.0,46,0,4,N,2025-09-10,2025-09-10,N,yes
HAB-2162-A,GR-2162,Columbus,OH,14557868.0,139,0,2,N,2025-09-23,2025-09-04,N,yes
HAB-2162-B,GR-2162,Columbus,OH,16374110.0,132,0,4,N,2025-09-09,2025-09-09,N,yes
HAB-2162-C,GR-2162,Columbus,OH,18026872.0,141,0,3,N,2025-09-06,2025-09-14,N,yes
HAB-2195-A,GR-2195,Minneapolis,MN,3514284.0,45,0,2,N,2025-09-10,2025-09-11,N,yes
HAB-2195-B,GR-2195,Minneapolis,MN,3828170.0,43,0,2,N,2025-09-09,2025-09-22,N,yes
HAB-2200-A,GR-2200,Indianapolis,IN,5908135.0,82,0,3,N,2025-09-22,2025-09-13,N,yes
HAB-2200-B,GR-2200,Indianapolis,IN,5924378.0,71,0,2,N,2025-09-15,2025-09-05,N,yes
